playlist_id,song_id,fecha_agregado,orden,favorito
1,1148,2022-11-16,1,True
1,929,2023-10-31,2,False
1,633,2022-12-24,3,False
1,759,2025-04-28,4,False
1,1327,2021-01-12,5,False
1,1360,2025-05-16,6,True
1,321,2021-01-14,7,True
1,1279,2025-01-11,8,True
2,177,2020-07-02,1,True
2,908,2020-03-06,2,False
2,359,2025-02-04,3,False
2,623,2021-04-22,4,True
2,207,2026-01-06,5,True
2,382,2022-06-23,6,False
2,457,2021-10-07,7,True
2,438,2023-06-23,8,False
2,918,2021-09-01,9,False
2,1401,2024-09-11,10,True
2,489,2020-09-25,11,True
3,837,2025-02-16,1,True
3,1035,2024-01-06,2,True
3,1498,2020-06-19,3,True
3,1147,2023-01-21,4,True
3,664,2025-09-04,5,True
3,1267,2020-08-24,6,False
3,1325,2022-10-12,7,False
4,1166,2024-12-31,1,True
4,131,2025-06-22,2,False
4,459,2021-10-08,3,True
4,349,2021-01-09,4,False
4,326,2024-01-12,5,True
4,953,2021-09-25,6,False
4,405,2020-07-06,7,False
4,1137,2026-02-10,8,False
4,1411,2025-12-18,9,True
4,1452,2022-08-14,10,False
4,1313,2024-11-22,11,True
4,825,2023-07-25,12,True
5,339,2023-06-26,1,True
5,1317,2022-04-04,2,True
5,437,2022-08-21,3,True
5,1223,2023-07-27,4,False
5,1450,2020-02-04,5,True
5,1192,2023-07-04,6,False
5,1287,2025-10-12,7,False
5,251,2022-05-17,8,False
5,218,2023-12-30,9,False
5,1190,2021-05-21,10,False
5,850,2024-09-14,11,True
5,620,2025-04-08,12,False
6,1201,2020-10-28,1,False
6,255,2020-12-28,2,False
6,956,2021-03-17,3,True
6,741,2020-12-04,4,False
6,999,2024-06-19,5,True
6,1188,2024-04-18,6,False
6,107,2024-08-30,7,False
6,337,2021-05-15,8,False
6,866,2022-12-25,9,False
6,1399,2021-08-06,10,False
6,513,2023-09-09,11,False
6,1310,2023-09-09,12,False
7,544,2025-06-28,1,True
7,1219,2024-10-21,2,True
7,1204,2022-06-21,3,True
7,945,2022-04-13,4,True
7,1375,2024-03-10,5,True
7,431,2022-09-01,6,True
7,834,2021-09-20,7,False
7,1183,2025-02-14,8,True
7,134,2025-04-08,9,False
7,313,2024-04-07,10,False
7,16,2025-07-04,11,True
8,707,2025-02-22,1,False
8,891,2025-07-19,2,False
8,930,2025-02-17,3,True
8,535,2021-12-05,4,True
8,481,2022-09-08,5,False
8,1300,2023-03-29,6,False
8,1080,2022-12-14,7,True
8,694,2022-10-04,8,True
9,356,2021-10-31,1,False
9,615,2026-03-14,2,False
9,532,2023-12-02,3,False
9,1434,2020-04-04,4,True
9,491,2023-07-16,5,True
9,885,2022-12-04,6,False
9,895,2020-07-06,7,False
9,136,2025-04-27,8,True
9,393,2026-04-04,9,True
9,1448,2024-11-15,10,False
10,163,2023-07-07,1,True
10,615,2026-04-14,2,True
10,984,2023-06-27,3,True
10,1263,2024-02-22,4,False
10,663,2022-12-11,5,True
10,251,2024-07-25,6,True
11,701,2021-07-10,1,False
11,628,2023-06-26,2,False
11,1137,2021-01-05,3,False
11,329,2021-10-11,4,True
11,28,2025-04-30,5,False
11,368,2020-02-11,6,False
11,1361,2023-10-09,7,False
11,110,2021-11-15,8,True
11,967,2023-11-30,9,False
11,164,2020-08-08,10,True
11,1399,2025-08-13,11,True
11,870,2022-06-16,12,False
11,1073,2021-08-18,13,False
12,177,2026-03-19,1,True
12,1240,2026-04-04,2,False
12,987,2023-10-09,3,False
12,117,2023-05-01,4,False
12,680,2021-03-01,5,False
12,1247,2021-08-22,6,True
12,692,2023-10-19,7,True
13,1192,2022-01-13,1,True
13,1391,2021-01-28,2,True
13,754,2022-06-26,3,True
13,181,2024-03-08,4,False
13,662,2020-07-23,5,True
13,83,2024-03-17,6,False
13,1018,2026-01-29,7,True
14,464,2023-02-18,1,True
14,999,2024-01-17,2,True
14,35,2022-12-26,3,False
14,285,2024-04-07,4,False
14,1286,2020-02-11,5,True
15,1101,2021-01-04,1,True
15,1220,2021-07-20,2,False
15,644,2020-07-13,3,True
15,1206,2022-01-02,4,True
15,51,2026-02-11,5,False
15,371,2022-03-02,6,True
15,89,2023-12-25,7,False
15,59,2024-04-16,8,True
15,1496,2022-02-13,9,True
15,932,2020-10-21,10,True
15,1240,2022-12-25,11,False
15,1093,2020-04-27,12,True
15,1492,2023-05-19,13,True
15,611,2024-10-27,14,False
16,1377,2024-05-05,1,False
16,94,2023-06-13,2,True
16,371,2021-08-01,3,True
16,1233,2025-03-25,4,False
16,995,2023-11-17,5,True
16,1285,2023-07-15,6,True
16,676,2023-07-04,7,True
16,1270,2025-03-25,8,False
16,1161,2024-04-26,9,False
16,501,2026-02-18,10,True
16,996,2025-09-15,11,True
16,247,2025-12-04,12,False
17,1261,2023-11-26,1,False
17,1439,2024-03-17,2,False
17,624,2022-01-19,3,True
17,1240,2020-04-15,4,False
17,314,2023-03-21,5,False
17,855,2023-11-10,6,True
17,1239,2025-11-20,7,False
17,1028,2020-11-06,8,True
17,882,2025-12-30,9,True
18,1025,2024-05-30,1,True
18,577,2020-11-16,2,False
18,1389,2022-06-26,3,True
18,397,2023-05-23,4,False
18,721,2021-05-06,5,False
18,925,2021-09-13,6,True
18,861,2022-04-18,7,True
18,1094,2025-04-07,8,False
18,1365,2025-04-18,9,True
18,1320,2025-11-04,10,True
18,102,2023-10-04,11,False
19,1394,2025-07-28,1,False
19,770,2021-02-08,2,True
19,681,2021-08-02,3,False
19,541,2022-06-10,4,False
19,829,2025-01-23,5,True
19,631,2023-03-14,6,True
19,1135,2022-04-27,7,False
19,219,2024-09-26,8,False
20,1008,2024-08-14,1,True
20,1276,2022-03-30,2,False
20,1441,2020-03-22,3,True
20,1118,2025-12-25,4,True
20,780,2022-03-25,5,True
20,527,2023-05-25,6,False
20,1160,2020-01-01,7,True
20,283,2025-10-29,8,True
20,1086,2020-09-01,9,True
20,970,2022-02-16,10,True
20,458,2020-06-16,11,True
20,1105,2024-08-13,12,True
21,1173,2023-08-20,1,False
21,483,2024-05-12,2,True
21,211,2022-10-08,3,False
